© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Developmental Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Congenital anomaly of finger	3.03E-05	ADRA2B,HPGD	2
Molecular Transport	Import of K+	1.27E-04	KCNJ1,KCNJ5	2
Molecular Transport	Transport of K+	2.01E-04	KCNA2,KCNJ1,KCNJ5	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Recurrent tachyarrhythmia	2.54E-04	ADRA2B,KCNJ5	2
Cardiovascular Disease,Organismal Injury and Abnormalities	Congestive heart failure	2.61E-04	ADRA2B,HPGD,KCNJ5	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Severe ventricular arrhythmia	3.82E-04	ADRA2B,KCNJ5	2
Hematological System Development and Function,Immunological Disease,Lymphoid Tissue Structure and Development,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Tissue Morphology	Abnormal morphology of mesenteric lymph node	4.03E-04	RNF128,TNFSF14	2
Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development	Proliferation of naive T lymphocytes	5.13E-04	RNF128,TNFSF14	2
Developmental Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Congenital anomaly of digit	6.17E-04	ADRA2B,DYNLT2B,HPGD	3
Cardiovascular Disease,Organismal Injury and Abnormalities	Endothelial dysfunction	7.17E-04	ADRA2B,KCNJ1	2
Cell-To-Cell Signaling and Interaction	Attachment of bone cancer cell lines	7.65E-04	AFAP1L1	1
Lipid Metabolism,Small Molecule Biochemistry	Conversion of 13,14-dihydro-15-oxo-lipoxin A4	7.65E-04	HPGD	1
Cancer,Organismal Injury and Abnormalities	Metastatic spindle cell sarcoma	7.65E-04	AFAP1L1	1
Nervous System Development and Function	Response of amygdala	7.65E-04	ADRA2B	1
Lipid Metabolism,Small Molecule Biochemistry	Inactivation of prostaglandin	7.65E-04	HPGD	1
Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Short-rib thoracic dysplasia 17 without polydactyly	7.65E-04	DYNLT2B	1
Renal and Urological System Development and Function	Tubuloglomerular feedback of nephron	7.65E-04	KCNJ1	1
Cancer,Organismal Injury and Abnormalities	Transformation of RPE cells	7.65E-04	PGBD5	1
Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Autosomal recessive primary microcephaly type 23	7.65E-04	NCAPH	1
Connective Tissue Disorders,Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Isolated congenital digital clubbing	7.65E-04	HPGD	1
Endocrine System Disorders,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities	Familial hyperaldosteronism type III	7.65E-04	KCNJ5	1
Developmental Disorder,Endocrine System Disorders,Hematological Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease	Bartter syndrome type 2	7.65E-04	KCNJ1	1
Embryonic Development,Organ Development,Organ Morphology,Organismal Development,Respiratory System Development and Function,Tissue Development	Volume of pulmonary alveolus	7.65E-04	ADRA2B	1
Cancer,Organismal Injury and Abnormalities,Renal and Urological Disease	Malignant renal cancer	7.65E-04	ZBTB7C	1
Cancer,Cellular Movement,Developmental Disorder,Embryonic Development,Organismal Injury and Abnormalities	Invasion of mesenchymal stem cells	7.65E-04	AFAP1L1	1
Connective Tissue Disorders,Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Autosomal recessive primary hypertrophic osteoarthropathy type 1	7.65E-04	HPGD	1
