© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Immune mediated inflammatory disease	1.36E-47	ADORA2A,AIM2,APOBEC3A,BCL2L14,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EPSTI1,ETV7,FPR2,G0S2,HELZ2,HERC5,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,LAG3,LAMP3,MDK,MT1H,MT1X,MT2A,MX1,MX2,NAMPT,NCF1,OASL,PDE4B,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLC1A2,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A,XAF1,ZBP1	86
Immunological Disease,Organismal Injury and Abnormalities	Systemic autoimmune syndrome	3.94E-44	ADORA2A,AIM2,APOBEC3A,BCL2L14,CALHM6,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EPSTI1,ETV7,FPR2,G0S2,GBP4,HELZ2,HERC5,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAMP3,MDK,MT1H,MT1X,MT2A,MX1,MX2,NAMPT,NCF1,OASL,PDE4B,PTGES,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLC1A2,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,WNT5A,XAF1,ZBP1	82
Inflammatory Response,Organismal Injury and Abnormalities	Inflammation of organ	1.24E-39	ACOD1,ADGRE1,ADORA2A,AIM2,APOBEC3A,BCL2L14,CA12,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,ENPP2,EPSTI1,EREG,ETV7,FPR2,GBP5,GCH1,HERC5,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,LAG3,LAMP3,MDK,MX1,NAMPT,NCF1,OASL,PAX5,PDE4B,PTGES,PTGIR,PTGS2,RSAD2,SIGLEC10,SLC2A6,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,WNT5A,ZBP1	82
Inflammatory Response,Organismal Injury and Abnormalities	Inflammation of body cavity	1.35E-35	ACOD1,ADGRE1,ADORA2A,AIM2,CCL20,CCL4,CCL5,CCL8,CCR7,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,ENPP2,EPSTI1,EREG,FPR2,GBP5,GCH1,HERC5,IDO1,IFIT2,IFIT3,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF7,ISG15,ISG20,ITGB8,JAK3,LAG3,MDK,NAMPT,NCF1,PAX5,PDE4B,PTGES,PTGS2,SIGLEC10,SLC2A6,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,WNT5A,ZBP1	68
Inflammatory Response,Organismal Injury and Abnormalities	Inflammation of absolute anatomical region	1.17E-32	ACOD1,ADGRE1,ADORA2A,AIM2,CA12,CCL20,CCL4,CCL5,CCL8,CCR7,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,ENPP2,EPSTI1,EREG,FPR2,GBP5,GCH1,HERC5,IDO1,IFIT2,IFIT3,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,LAG3,MDK,NAMPT,NCF1,PAX5,PDE4B,PTGES,PTGS2,SIGLEC10,SLC2A6,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,WNT5A,ZBP1	70
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Lupus erythematosus	1.60E-30	AIM2,APOBEC3A,BCL2L14,CD80,CFB,CMPK2,CXCL10,CYP2E1,DDX58,EPSTI1,ETV7,HERC5,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1B,IL2RA,IRF7,ISG15,ISG20,JAK3,LAMP3,MT1H,MT1X,MT2A,MX1,MX2,NCF1,OASL,PTGS2,RSAD2,SERPINB2,SIGLEC1,SOCS3,STAT4,TNFSF10,XAF1,ZBP1	43
Antimicrobial Response,Inflammatory Response	Antimicrobial response	2.27E-30	ACOD1,AIM2,APOBEC3A,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CLEC4D,CLEC4E,CXCL10,CXCL13,CXCL8,DDX58,FPR2,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1B,IL27,IRF7,ISG15,ISG20,ITGB8,MX1,MX2,NCF1,OASL,PLAC8,RSAD2,S100A12,SOCS3,ZBP1	38
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Systemic lupus erythematosus	6.82E-30	AIM2,APOBEC3A,BCL2L14,CD80,CFB,CMPK2,CXCL10,CYP2E1,DDX58,EPSTI1,ETV7,HERC5,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1B,IL2RA,IRF7,ISG15,ISG20,JAK3,LAMP3,MT1H,MT1X,MT2A,MX1,MX2,NCF1,OASL,PTGS2,RSAD2,SERPINB2,SIGLEC1,SOCS3,STAT4,TNFSF10,XAF1,ZBP1	42
Cellular Movement	Cell movement of blood cells	1.57E-29	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CFB,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,ENPP2,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,JAK3,LAG3,MCOLN2,MDK,MYO1G,NCF1,PDE4B,PDPN,PTGES,PTGIR,PTGS2,S100A12,SLAMF1,SNAI1,SOCS3,THBS1,TNFAIP6,TNFSF10,VCAN,WNT5A,ZBP1	58
Cellular Movement,Immune Cell Trafficking	Leukocyte migration	8.29E-29	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CFB,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,ENPP2,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,JAK3,LAG3,MCOLN2,MDK,MYO1G,NCF1,PDE4B,PDPN,PTGES,PTGIR,PTGS2,S100A12,SLAMF1,SNAI1,SOCS3,THBS1,TNFAIP6,TNFSF10,VCAN,WNT5A	57
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of leukocytes	3.57E-28	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD226,CD38,CD80,CFB,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,ENPP2,FPR2,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,JAK3,LAG3,MDK,MYO1G,NCF1,PDE4B,PDPN,PTGES,PTGIR,PTGS2,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,TNFSF10,VCAN,WNT5A	54
